timestamp_ms,frametime_ms,fps
1757230061718,9.136,109.46
1757230061726,7.541,132.60
1757230061734,8.557,116.86
1757230061743,8.094,123.55
1757230061752,8.956,111.66
1757230061759,7.995,125.08
1757230061769,9.901,101.00
1757230061777,7.594,131.68
1757230061785,8.336,119.97
1757230061794,8.310,120.34
1757230061802,8.361,119.60
1757230061809,8.299,120.49
1757230061819,9.262,107.97
1757230061827,7.434,134.52
1757230061836,8.948,111.76
1757230061844,8.068,123.95
1757230061853,8.738,114.44
1757230061861,7.939,125.96
1757230061870,9.286,107.69
1757230061879,8.775,113.96
1757230061887,8.715,114.74
1757230061896,8.593,116.38
1757230061904,8.542,117.06
1757230061913,8.495,117.72
1757230061922,9.172,109.03
1757230061929,7.564,132.20
1757230061938,8.266,120.97
1757230061947,8.343,119.86
1757230061955,8.933,111.95
1757230061964,8.158,122.58
1757230061972,9.225,108.40
1757230061980,7.600,131.58
1757230061989,8.185,122.18
1757230061997,8.334,119.98
1757230062005,8.390,119.19
1757230062014,8.584,116.49
1757230062024,10.027,99.73
1757230062031,7.330,136.42
1757230062039,7.857,127.28
1757230062047,8.339,119.92
1757230062055,8.307,120.38
1757230062064,8.337,119.95
1757230062073,9.101,109.88
1757230062081,8.046,124.29
1757230062089,8.045,124.30
1757230062097,8.177,122.29
1757230062106,8.328,120.08
1757230062113,8.665,115.41
1757230062123,8.803,113.60
1757230062131,7.805,128.13
1757230062139,8.484,117.87
1757230062148,8.318,120.22
1757230062156,8.333,120.00
1757230062164,8.415,118.84
1757230062174,9.289,107.65
1757230062182,7.598,131.62
1757230062191,9.630,103.84
1757230062199,8.937,111.90
1757230062208,7.944,125.87
1757230062217,9.740,102.67
1757230062224,6.966,143.56
1757230062233,8.532,117.21
1757230062242,8.409,118.93
1757230062249,8.173,122.35
1757230062258,8.586,116.47
1757230062268,9.280,107.76
1757230062275,7.603,131.53
1757230062283,8.719,114.69
1757230062292,8.381,119.31
1757230062301,8.282,120.75
1757230062309,8.351,119.74
1757230062318,9.579,104.39
1757230062326,7.356,135.94
1757230062335,9.356,106.89
1757230062343,8.230,121.51
1757230062353,9.299,107.54
1757230062361,7.994,125.09
1757230062371,9.715,102.94
1757230062377,7.098,140.88
1757230062386,9.036,110.67
1757230062395,8.260,121.06
1757230062403,8.486,117.85
1757230062412,8.159,122.56
1757230062421,9.363,106.81
1757230062428,7.285,137.28
1757230062436,8.352,119.73
1757230062445,8.299,120.49
1757230062453,8.471,118.05
1757230062463,9.455,105.76
1757230062472,9.087,110.05
1757230062479,7.193,139.03
1757230062487,8.271,120.90
1757230062496,8.327,120.09
1757230062504,8.388,119.22
1757230062512,8.813,113.47
1757230062522,9.437,105.97
1757230062530,7.402,135.10
1757230062538,8.269,120.94
1757230062546,8.429,118.64
1757230062555,8.333,120.01
1757230062563,8.501,117.63
1757230062572,8.986,111.28
1757230062580,8.205,121.88
1757230062589,8.681,115.19
1757230062597,7.934,126.05
1757230062605,8.771,114.01
1757230062614,8.057,124.12
1757230062623,9.357,106.87
1757230062631,8.120,123.16
1757230062639,8.271,120.91
1757230062648,8.760,114.16
1757230062657,8.832,113.23
1757230062666,9.114,109.72
1757230062674,7.544,132.55
1757230062682,8.406,118.96
1757230062691,8.275,120.85
1757230062699,8.627,115.92
1757230062708,8.515,117.44
1757230062717,9.364,106.79
1757230062725,7.504,133.26
1757230062733,8.373,119.43
1757230062741,8.430,118.62
1757230062751,9.294,107.60
1757230062759,8.577,116.59
1757230062768,9.123,109.62
1757230062776,7.796,128.28
1757230062783,8.215,121.72
1757230062793,8.252,121.18
1757230062801,8.648,115.63
1757230062810,8.453,118.30
1757230062819,9.085,110.07
1757230062826,7.838,127.59
1757230062835,8.717,114.72
1757230062843,7.913,126.37
1757230062852,8.464,118.15
1757230062859,8.364,119.57
1757230062869,9.373,106.68
1757230062877,7.504,133.27
1757230062886,8.597,116.33
1757230062894,8.011,124.83
1757230062902,8.365,119.54
1757230062910,8.556,116.88
1757230062920,9.377,106.64
1757230062928,8.515,117.44
1757230062936,8.270,120.91
1757230062945,8.539,117.10
1757230062953,8.152,122.68
1757230062962,8.667,115.39
1757230062971,9.246,108.15
1757230062979,7.529,132.82
1757230062987,8.211,121.79
1757230062995,8.523,117.33
1757230063004,8.305,120.41
1757230063012,8.176,122.31
1757230063021,9.348,106.98
1757230063028,7.541,132.61
1757230063037,8.113,123.27
1757230063045,8.559,116.84
1757230063054,8.289,120.64
1757230063062,8.420,118.76
1757230063071,9.276,107.81
1757230063079,7.637,130.94
1757230063087,8.117,123.20
1757230063095,8.317,120.23
1757230063104,8.640,115.74
1757230063113,8.268,120.94
1757230063121,9.315,107.36
1757230063129,7.537,132.69
1757230063138,8.691,115.07
1757230063146,8.042,124.34
1757230063155,8.889,112.50
1757230063163,8.204,121.89
1757230063172,9.174,109.00
1757230063180,7.753,128.98
1757230063188,7.986,125.23
1757230063197,8.698,114.97
1757230063205,8.403,119.01
1757230063213,8.211,121.78
1757230063222,9.280,107.76
1757230063230,7.280,137.37
1757230063238,8.468,118.10
1757230063247,8.451,118.32
1757230063255,8.365,119.55
1757230063263,8.279,120.78
1757230063272,9.101,109.88
1757230063280,7.336,136.32
1757230063288,8.415,118.84
1757230063296,8.255,121.14
1757230063305,8.463,118.16
1757230063314,9.023,110.83
1757230063323,9.167,109.09
1757230063331,7.500,133.33
1757230063339,9.019,110.88
1757230063348,8.246,121.27
1757230063357,8.670,115.34
1757230063365,8.025,124.61
1757230063373,9.054,110.45
1757230063381,7.643,130.84
1757230063390,8.337,119.95
1757230063398,8.253,121.17
1757230063406,8.390,119.19
1757230063414,8.360,119.62
1757230063426,10.718,93.30
1757230063432,6.980,143.26
1757230063441,8.549,116.98
1757230063449,8.160,122.55
1757230063457,8.276,120.83
1757230063466,9.230,108.35
1757230063474,7.476,133.76
1757230063483,8.451,118.33
1757230063491,8.613,116.10
1757230063499,8.356,119.67
1757230063508,8.308,120.36
1757230063517,9.191,108.80
1757230063524,7.459,134.06
1757230063533,8.425,118.69
1757230063541,8.361,119.61
1757230063549,8.306,120.40
1757230063558,8.498,117.67
1757230063568,10.266,97.41
1757230063576,7.336,136.32
1757230063583,8.200,121.95
